bits,source,prefix,query,run,time_s
1,view,a,full,0,0.03125662502134219
1,view,a,full,1,0.031995915982406586
1,view,a,full,2,0.03121612500399351
1,view,a,full,3,0.031596416025422513
1,view,a,full,4,0.03149449999909848
1,view,a,full,5,0.03115329099819064
1,view,a,full,6,0.03139187500346452
1,view,a,full,7,0.03202362498268485
1,view,a,full,8,0.03232862497679889
1,view,a,full,9,0.03359308297513053
1,view,a,fp_exact,0,0.030930040986277163
1,view,a,fp_exact,1,0.02983424998819828
1,view,a,fp_exact,2,0.032759707944933325
1,view,a,fp_exact,3,0.0302749170223251
1,view,a,fp_exact,4,0.031125582987442613
1,view,a,fp_exact,5,0.03054287499981001
1,view,a,fp_exact,6,0.032050915993750095
1,view,a,fp_exact,7,0.03203533298801631
1,view,a,fp_exact,8,0.03218100004596636
1,view,a,fp_exact,9,0.03171787498285994
1,view,(,full,0,0.03373133298009634
1,view,(,full,1,0.034001125022768974
1,view,(,full,2,0.0340570830157958
1,view,(,full,3,0.033682167006190866
1,view,(,full,4,0.034309959039092064
1,view,(,full,5,0.03439991699997336
1,view,(,full,6,0.03408533398760483
1,view,(,full,7,0.034874542034231126
1,view,(,full,8,0.03407904104096815
1,view,(,full,9,0.03450716700172052
1,view,(,fp_exact,0,0.03313504095422104
1,view,(,fp_exact,1,0.03491354204015806
1,view,(,fp_exact,2,0.03219166595954448
1,view,(,fp_exact,3,0.03244733402971178
1,view,(,fp_exact,4,0.032930374960415065
1,view,(,fp_exact,5,0.03232720895903185
1,view,(,fp_exact,6,0.0345147080370225
1,view,(,fp_exact,7,0.03054749994771555
1,view,(,fp_exact,8,0.03125958301825449
1,view,(,fp_exact,9,0.03317300003254786
1,view,#,full,0,0.03318845800822601
1,view,#,full,1,0.034106707957107574
1,view,#,full,2,0.03381200000876561
1,view,#,full,3,0.03487312496872619
1,view,#,full,4,0.033530999964568764
1,view,#,full,5,0.03402620804263279
1,view,#,full,6,0.033838917035609484
1,view,#,full,7,0.03347945801215246
1,view,#,full,8,0.03475220897234976
1,view,#,full,9,0.03287629096303135
1,view,#,fp_exact,0,0.03010508301667869
1,view,#,fp_exact,1,0.029905500006861985
1,view,#,fp_exact,2,0.029732333030551672
1,view,#,fp_exact,3,0.030032875016331673
1,view,#,fp_exact,4,0.030020832957234234
1,view,#,fp_exact,5,0.03074062499217689
1,view,#,fp_exact,6,0.029600749956443906
1,view,#,fp_exact,7,0.030468499986454844
1,view,#,fp_exact,8,0.029832125001121312
1,view,#,fp_exact,9,0.028941416007000953
1,table,jos,full,0,0.004243790986947715
1,table,jos,full,1,0.004256333049852401
1,table,jos,full,2,0.004077374993357807
1,table,jos,full,3,0.004185666039120406
1,table,jos,full,4,0.004111833986826241
1,table,jos,full,5,0.004196709021925926
1,table,jos,full,6,0.004185167024843395
1,table,jos,full,7,0.004196499998215586
1,table,jos,full,8,0.004148667037952691
1,table,jos,full,9,0.004095125012099743
1,table,jos,fp_exact,0,0.004364583001006395
1,table,jos,fp_exact,1,0.004323291999753565
1,table,jos,fp_exact,2,0.004280499997548759
1,table,jos,fp_exact,3,0.00433633296051994
1,table,jos,fp_exact,4,0.00428512500366196
1,table,jos,fp_exact,5,0.004263583046849817
1,table,jos,fp_exact,6,0.004289166012313217
1,table,jos,fp_exact,7,0.004329917021095753
1,table,jos,fp_exact,8,0.004318666993640363
1,table,jos,fp_exact,9,0.004306791990529746
1,table,2012,full,0,0.004011792014352977
1,table,2012,full,1,0.004010082979220897
1,table,2012,full,2,0.004132750036660582
1,table,2012,full,3,0.004015750018879771
1,table,2012,full,4,0.004083000007085502
1,table,2012,full,5,0.00402383302571252
1,table,2012,full,6,0.004319375031627715
1,table,2012,full,7,0.004128083004616201
1,table,2012,full,8,0.004134958027862012
1,table,2012,full,9,0.0042565419571474195
1,table,2012,fp_exact,0,0.004435958981048316
1,table,2012,fp_exact,1,0.004538082983344793
1,table,2012,fp_exact,2,0.004420958983246237
1,table,2012,fp_exact,3,0.004560792003758252
1,table,2012,fp_exact,4,0.004838082997594029
1,table,2012,fp_exact,5,0.004403957980684936
1,table,2012,fp_exact,6,0.00437112501822412
1,table,2012,fp_exact,7,0.004422166966833174
1,table,2012,fp_exact,8,0.004345624998677522
1,table,2012,fp_exact,9,0.004351000010501593
1,table,the,full,0,0.00368341599823907
1,table,the,full,1,0.0036444999859668314
1,table,the,full,2,0.003691666992381215
1,table,the,full,3,0.0036907499888911843
1,table,the,full,4,0.0036617079749703407
1,table,the,full,5,0.0036132079549133778
1,table,the,full,6,0.00376158399740234
1,table,the,full,7,0.0036273750010877848
