ngram,match_count,selectivity,bucket_lo,bucket_hi,bucket_span,rows_in_buckets,prune_rate,time_full_ms,time_fp_ms,speedup
54-,5,4.0699901555078117e-07,5,5,1,47204,0.9961576036939882,1024.457333999976,57.88008299998637,17.69965212386128
562,7,5.697986217710937e-07,5,5,1,47204,0.9961576036939882,1005.8454159999428,60.20195899998271,16.70785191558686
584,5,4.0699901555078117e-07,5,5,1,47204,0.9961576036939882,999.5952079999597,59.40570800009937,16.826585216327828
61t,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1028.0875830000014,51.729209000086485,19.874411437419862
62-,4,3.2559921244062496e-07,5,5,1,47204,0.9961576036939882,999.2922500000532,58.507125000005544,17.07983856666959
65.,47,3.825790746177343e-06,5,5,1,47204,0.9961576036939882,1027.340707999997,196.6602499999226,5.2239367538707056
65t,24,1.9535952746437495e-06,5,5,1,47204,0.9961576036939882,1050.7307500000707,58.878124999978354,17.845859561602158
6by,1,8.139980311015624e-08,5,5,1,47204,0.9961576036939882,1043.4758339999917,59.18004199997995,17.63222530325925
73 ,78,6.349184642592186e-06,6,6,1,49146,0.9959995252763483,1009.2194159999508,130.63975000000028,7.72520933329977
73y,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,1019.2416249999496,52.69387499993172,19.342696376026062
75+,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,1004.8914580000883,58.44858299997213,17.19274285914797
769,12,9.767976373218748e-07,6,6,1,49146,0.9959995252763483,989.9902920000159,58.8054170000305,16.835018651419517
7iè,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,1141.3096659999837,61.32883300006142,18.609675256642184
8 1,15,1.2209970466523436e-06,6,6,1,49146,0.9959995252763483,1016.6292500000509,57.020874999921034,17.82907137081742
8h1,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,984.3862079999326,59.794667000005575,16.46277598635746
9 r,19,1.5465962590929685e-06,6,6,1,49146,0.9959995252763483,1030.3972499999645,52.03070899995055,19.80363654089249
927,4,3.2559921244062496e-07,6,6,1,49146,0.9959995252763483,998.0219579999812,59.003375000088454,16.914658830931028
92c,7,5.697986217710937e-07,6,6,1,49146,0.9959995252763483,1001.7430410000543,59.64829099991675,16.794161646667334
98b,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,1012.8419579999672,59.304999999994834,17.078525554338682
9fi,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,1029.5518340000172,51.987041999950634,19.8040087374272
[ d,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,1019.402833000072,59.53691699994579,17.122197190711105
[gs,1,8.139980311015624e-08,6,6,1,49146,0.9959995252763483,1015.6332499999507,61.394833000008475,16.542650258529257
_di,4796,0.0003903934557163093,6,6,1,49146,0.9959995252763483,1053.4712920000402,59.818959000040195,17.610993397583737
_wu,51,4.151389958617968e-06,6,6,1,49146,0.9959995252763483,1011.708958999975,59.8406660000137,16.906712886513386
a(h,1,8.139980311015624e-08,8,8,1,45325,0.9963105539240321,1031.152332999909,51.57645799999955,19.992693817786364
a+a,2,1.6279960622031248e-07,8,8,1,45325,0.9963105539240321,1040.9465420000288,60.72562500003187,17.141800384919588
a2-,5,4.0699901555078117e-07,8,8,1,45325,0.9963105539240321,1023.3229589999837,58.471832999998696,17.501126721989483
a3d,2,1.6279960622031248e-07,8,8,1,45325,0.9963105539240321,1011.5874580000082,58.64450000001398,17.249485595405655
abx,1,8.139980311015624e-08,9,9,1,59761,0.995135466366334,998.4132920000093,58.70762500001092,17.006535215822876
adc,6,4.883988186609374e-07,9,9,1,59761,0.995135466366334,1034.080458999938,52.648708000106126,19.641136473811542
amu,260,2.116394880864062e-05,12,12,1,47206,0.996157440894382,1044.6632910000062,182.01075000001765,5.739569179292459
amy,1061,8.636519109987577e-05,12,12,1,47206,0.996157440894382,1032.6735419999977,129.42070799999783,7.979198676613754
apa,1162,9.458657121400155e-05,14,14,1,47825,0.9961070544162568,1004.9611250000225,112.48079200004213,8.934513236710194
aqa,8,6.511984248812499e-07,14,14,1,47825,0.9961070544162568,1019.8748750000277,59.868667000046116,17.035202654491073
arf,16,1.3023968497624998e-06,14,14,1,47825,0.9961070544162568,1006.0971250001103,60.24554199996146,16.699943126094773
aux,190,1.5465962590929686e-05,16,16,1,47872,0.9961032286255106,1058.0682080000088,170.3923750000058,6.209598334432352
av ,51,4.151389958617968e-06,16,16,1,47872,0.9961032286255106,1037.1916249999913,323.0680000000348,3.2104436991589376
ayç,1,8.139980311015624e-08,16,16,1,47872,0.9961032286255106,1183.80045899994,61.519583000062994,19.242660650003558
aíd,11,8.953978342117187e-07,16,16,1,47872,0.9961032286255106,1144.121250000012,56.36179100008576,20.299590018320586
b &,16,1.3023968497624998e-06,16,16,1,47872,0.9961032286255106,1016.1840839999741,56.87583399992491,17.866710912780913
b s,23,1.8721954715335935e-06,16,16,1,47872,0.9961032286255106,1020.656666999912,60.915875000091546,16.755183554342413
b&c,2,1.6279960622031248e-07,16,16,1,47872,0.9961032286255106,1022.6938750000727,60.23108399995181,16.97950305860162
b-h,3,2.441994093304687e-07,16,16,1,47872,0.9961032286255106,1031.3731669999697,60.01641699992888,17.18485072178154
b26,1,8.139980311015624e-08,16,16,1,47872,0.9961032286255106,1040.9175830000095,60.72470899994187,17.14158207001051
b7+,1,8.139980311015624e-08,16,16,1,47872,0.9961032286255106,1052.4622499999623,60.850749999985965,17.295797504553438
bab,8069,0.0006568150112958507,16,17,2,95304,0.9922422731643896,1052.261499999986,81.1945000000378,12.959763284452716
baú,8,6.511984248812499e-07,18,18,1,46657,0.9962021293862895,1150.7115409999642,59.512166999979854,19.33573585045817
bfe,1,8.139980311015624e-08,19,19,1,49991,0.9959307424427202,997.6564579999376,57.28183399992304,17.416629118426588
bgl,2,1.6279960622031248e-07,19,19,1,49991,0.9959307424427202,1019.5250000000442,61.35733300004631,16.616188320950567
bhs,5,4.0699901555078117e-07,20,20,1,48319,0.9960668429135203,1053.0968749999374,51.752665999970304,20.348649768120964
bis,1499,0.0001220183048621242,20,20,1,48319,0.9960668429135203,1058.546500000034,91.55095899996013,11.562374786270617
brz,28,2.279194487084375e-06,23,23,1,46881,0.9961838958303928,1023.7378340000305,215.2789169999778,4.755402192961311
buw,29,2.360594290194531e-06,24,24,1,48430,0.9960578075353751,1031.117375000008,119.41358299998228,8.634841607593007
buz,606,4.932828068475468e-05,24,24,1,48430,0.9960578075353751,1026.6860830000724,161.10383399995953,6.372822157667149
bxl,4,3.2559921244062496e-07,24,24,1,48430,0.9960578075353751,1048.2460000000628,61.48987500000658,17.047457000033756
byu,2408,0.00019601072588925622,24,24,1,48430,0.9960578075353751,1014.8202919999676,193.3238330000222,5.249328426050042
bäx,3,2.441994093304687e-07,24,24,1,48430,0.9960578075353751,1125.008792000017,60.69049999996423,18.53681864543347
böt,4,3.2559921244062496e-07,24,24,1,48430,0.9960578075353751,1128.45362500002,58.69804100007059,19.22472378590391
bø ,1,8.139980311015624e-08,24,24,1,48430,0.9960578075353751,1128.3543750000717,60.17270799998187,18.751929446160403
c k,4,3.2559921244062496e-07,24,24,1,48430,0.9960578075353751,1023.0763750000733,55.26095799996256,18.51354757550107
c*4,14,1.1395972435421874e-06,24,24,1,48430,0.9960578075353751,1043.3240840000053,51.972375000104876,20.07458931784241
cdf,3,2.441994093304687e-07,26,26,1,51212,0.9958313532831227,1038.8595409999652,59.59708299997146,17.431382354744823
cdm,5,4.0699901555078117e-07,26,26,1,51212,0.9958313532831227,1053.9657499998611,61.77154200008772,17.06231892346745
cdn,1,8.139980311015624e-08,26,26,1,51212,0.9958313532831227,1030.8457080000153,60.68129200002659,16.987866837106296
cex,4,3.2559921244062496e-07,26,26,1,51212,0.9958313532831227,1009.9623329999758,59.031708000020444,17.108810963078113
chá,53,4.3141895648382805e-06,28,28,1,47328,0.9961475101184025,1117.506958000149,202.96716600000764,5.505850921720546
cii,1,8.139980311015624e-08,28,28,1,47328,0.9961475101184025,1034.6121250001943,51.834915999961595,19.95975309385976
clà,3,2.441994093304687e-07,29,29,1,47461,0.9961366839445889,1157.5232079999296,52.00658300009309,22.257244010779516
cmd,5,4.0699901555078117e-07,29,29,1,47461,0.9961366839445889,1025.7944579998366,58.90612500002135,17.41405427702917
cp ,25,2.0349950777539057e-06,31,31,1,47407,0.9961410795339568,1001.5836249999666,58.87575000019751,17.011819382285687
crt,10,8.139980311015623e-07,31,31,1,47407,0.9961410795339568,1031.6049160001057,51.567250000061904,20.005040330808164
d r,4,3.2559921244062496e-07,32,32,1,49476,0.995972663341322,1010.7143329998962,59.80637499988006,16.899775868407392
d-y,1,8.139980311015624e-08,32,32,1,49476,0.995972663341322,997.8204999999889,59.57825000018602,16.748066618218452
daz,228,1.855915510911562e-05,34,34,1,48028,0.9960905302562254,1005.0343330001397,218.79829199997403,4.593428604096503
daß,1,8.139980311015624e-08,34,34,1,48028,0.9960905302562254,1139.1878340000403,60.10975000003782,18.95179790299117
deo,164,1.3349567710065622e-05,35,35,1,49616,0.9959612673688865,1030.935541999952,171.25700000019606,6.019815493666079
dfh,2,1.6279960622031248e-07,36,36,1,46607,0.996206199376445,1044.0102079999178,60.02529200009121,17.39283847212824
di ,421,3.426931710937577e-05,36,36,1,46607,0.996206199376445,1003.0865000001086,159.3405830001302,6.295235533305968
dnu,1,8.139980311015624e-08,38,38,1,46406,0.9962225607368701,1039.5282499998757,60.15104199991583,17.281965788744447
dry,436,3.549031415602812e-05,39,39,1,48727,0.9960336317938514,999.9090410001372,125.91362499983916,7.94122987882697
ds:,1,8.139980311015624e-08,39,39,1,48727,0.9960336317938514,1038.6489999998503,59.24500000014632,17.531420372981433
dsk,10,8.139980311015623e-07,39,39,1,48727,0.9960336317938514,1019.2355409999436,51.50054199998522,19.790773095169293
dtr,4,3.2559921244062496e-07,39,39,1,48727,0.9960336317938514,1005.7576249998874,56.12495799982753,17.919971093839894
déf,153,1.2454169875853904e-05,40,40,1,48952,0.9960153168381516,1160.6429580001532,233.16179199991893,4.977843702627559
díb,1,8.139980311015624e-08,40,40,1,48952,0.9960153168381516,1173.5612909999418,52.28720899981454,22.444519672184153
dôs,38,3.093192518185937e-06,40,40,1,48952,0.9960153168381516,1159.4343329998082,597.5982909999402,1.9401567080450774
döö,2,1.6279960622031248e-07,40,40,1,48952,0.9960153168381516,1239.6640829999797,60.4633749999266,20.502727196447182
dúh,1,8.139980311015624e-08,40,40,1,48952,0.9960153168381516,1140.7133329998942,61.52404199997363,18.540936127057176
dün,96,7.814381098574998e-06,40,40,1,48952,0.9960153168381516,1158.5552499998357,307.8950409999379,3.76282529993742
e u,5,4.0699901555078117e-07,40,40,1,48952,0.9960153168381516,1048.894209000082,59.42454199998792,17.65085894983078
e é,2,1.6279960622031248e-07,40,40,1,48952,0.9960153168381516,1143.3396249999532,60.332249999873966,18.950720800274176
e20,4,3.2559921244062496e-07,40,40,1,48952,0.9960153168381516,1057.6438749999397,59.71245799992175,17.712281664930384
e6-,1,8.139980311015624e-08,40,40,1,48952,0.9960153168381516,1054.9572920001538,59.68933300005119,17.674134371701708
ece,20,1.6279960622031247e-06,40,40,1,48952,0.9960153168381516,1018.1170420000853,54.79883299994981,18.57917379373787
