bits,source,prefix,query,sketch_bytes,time_full_ms,time_fp_ms,speedup_median,speedup_iqr,speedup_p25,speedup_p75
4,view,the,the%,0.5,12.640833621844601,7.953187567181851,1.5894046902660666,0.07330349965429761,1.5434248002307696,1.6167282998850672
8,table,#,#%,1.0,3.0625001527368503,2.56204162724315,1.195335829118519,0.037647156291638506,1.1761172093424972,1.2137643656341357
8,table,(,(%,1.0,4.1566040599718,4.36668749898665,0.9518895182988013,0.014900905994046254,0.9460116810578347,0.960912587051881
8,table,2012,2012%,1.0,4.04441647697235,3.9008124731480502,1.0368138701393168,0.010008234303378938,1.033694562682092,1.0437027969854709
8,table,a,a%,1.0,4.51572902966285,3.9319169009104,1.148480281619704,0.012665417588462846,1.1400511879924833,1.1527166055809461
8,table,interest,interest%,1.0,4.2504169978201,3.78233310766515,1.1237553321801157,0.01875554664124035,1.115248367329122,1.1340039139703624
8,table,jos,jos%,1.0,4.09795856103295,3.794000018388,1.0801155880790154,0.009948729961778202,1.0788395973252554,1.0887883272870336
8,table,the,the%,1.0,3.7197495112195,3.8048750720917504,0.9776272389344305,0.013138683370064519,0.9705893049706379,0.9837279883407024
8,view,#,#%,1.0,11.4447498926892,5.3954999893903,2.1211657705855127,0.14155012941038603,2.0140844246790572,2.1556345540894433
8,view,(,(%,1.0,11.867646011523851,9.4346036203205,1.2578849614797807,0.0632947996560318,1.2314343620713748,1.2947291617274066
8,view,2012,2012%,1.0,11.55639591161155,5.904103978537001,1.9573496594270943,0.08729110056493816,1.9067483235141018,1.99403942407904
8,view,a,a%,1.0,14.666562085039851,6.32985401898615,2.3170458656784296,0.12228896727404415,2.219606661216289,2.341895628490333
8,view,interest,interest%,1.0,13.521854416467201,5.78695803415025,2.3366083418389145,0.1493962430364264,2.2505989740153303,2.3999952170517567
8,view,jos,jos%,1.0,13.701604097150248,5.5893334792926,2.451384256801288,0.07284448184601988,2.4053121328633402,2.47815661470936
8,view,the,the%,1.0,12.828667066059952,7.68495805095875,1.6693216776192408,0.05086890502741781,1.6537309020576074,1.7045998070850252
12,table,#,#%,1.5,3.0451875645666497,1.8562704790383,1.6404869866509466,0.07875463863021226,1.6121952273616116,1.6909498659918238
12,table,(,(%,1.5,4.2031250195576995,4.477916983887499,0.9386339752794525,0.07763614641300365,0.9107958856428982,0.9884320320559018
12,table,2012,2012%,1.5,4.0440210141241,2.1009584888815,1.9248457480361925,0.05775181696262299,1.9019147049989775,1.9596665219616005
12,table,a,a%,1.5,4.538291483186151,3.9623539196326494,1.1453523777116044,0.029283082264667915,1.1330742770444453,1.1623573593091132
12,table,interest,interest%,1.5,4.2433335911482,1.5879165148362,2.672264915379331,0.10954744415052442,2.6233030221635842,2.7328504663141087
12,table,jos,jos%,1.5,4.0888745570555,2.4699164787306502,1.655470778978272,0.029623103856055266,1.634233920798678,1.6638570246547333
12,table,the,the%,1.5,3.7307920865714,3.81147896405305,0.9788305594120742,0.01697206816758412,0.9714725133139448,0.9884445814815289
12,view,#,#%,1.5,11.102395481429951,5.59245795011515,1.98524433808239,0.060598008552487315,1.9676276785932933,2.0282256871457807
12,view,(,(%,1.5,11.19243702851235,8.95537505857645,1.2498010362830636,0.03919543979392981,1.2235308445730526,1.2627262843669824
12,view,2012,2012%,1.5,11.25666650477795,5.82962483167645,1.9309418409933634,0.0611215550820885,1.8893491537199651,1.9504707088020536
12,view,a,a%,1.5,15.218270942568699,6.9043535040691,2.204155817572169,0.07364133287590624,2.163041735832884,2.2366830687087904
12,view,interest,interest%,1.5,13.541145948693101,6.312082987278649,2.145273751309018,0.09724065398622406,2.111828629049545,2.209069283035769
12,view,jos,jos%,1.5,13.44068790785965,6.0923538403585,2.2061568090189496,0.06695256504091329,2.1553226822367915,2.2222752472777048
12,view,the,the%,1.5,12.517541530542049,7.74854153860355,1.6154706622116106,0.040901860067838136,1.600567636970925,1.641469497038763
16,table,#,#%,2.0,3.1068953685462,1.37302058283235,2.262817766458466,0.0720815056383648,2.2304437844133873,2.302525290051752
16,table,(,(%,2.0,4.183937562629501,4.4139791280031,0.9478834043608922,0.030968927199807594,0.9257672086758062,0.9567361358756138
16,table,2012,2012%,2.0,4.05716651584945,1.8278750358149,2.219608253493484,0.05964999156595363,2.1912281599103056,2.2508781514762592
16,table,a,a%,2.0,4.5492295175790005,3.9794165641068995,1.143190074296729,0.024626247248030975,1.1338989509853428,1.1585251982333737
16,table,interest,interest%,2.0,4.2902709683403,0.5965000018477,7.192407301007358,0.3202770518664133,6.927640369111068,7.2479174209774815
16,table,jos,jos%,2.0,4.09812503494315,2.1967289503662997,1.8655578942772146,0.011961293244354465,1.856252406083529,1.8682136993278835
16,table,the,the%,2.0,3.7277295487001,3.8288545329123,0.9735887108421217,0.010960842291058648,0.9653795968133958,0.9763404391044544
16,view,#,#%,2.0,11.43358310218895,5.86729159113015,1.9486986328536344,0.07467794049050491,1.9164617770296157,1.9911397175201206
16,view,(,(%,2.0,11.252145865000749,9.95750003494315,1.1300171554621532,0.03799029633237683,1.1168888534198,1.1548791497521769
16,view,2012,2012%,2.0,11.33268757257605,5.94727112911635,1.9055273127021315,0.10082026266277566,1.8391978878965696,1.9400181505593452
16,view,a,a%,2.0,14.9212500546127,6.788833416067,2.1979107661264554,0.06717320841105812,2.184769179622005,2.251942388033063
16,view,interest,interest%,2.0,14.20164550654585,6.292479578405549,2.2569235751329053,0.06520379157169032,2.2001877033042456,2.265391494875936
16,view,jos,jos%,2.0,13.3994999341666,6.888000527396749,1.9453395627469277,0.1342938529534392,1.8479307298140135,1.9822245827674527
16,view,the,the%,2.0,12.290812446735751,7.0905209286138,1.733414592591663,0.026876471817271153,1.7235962090556738,1.750472680872945
20,table,#,#%,2.5,3.0307705746963,1.26547890249635,2.3949593855082396,0.11661945498889192,2.320187065518505,2.436806520507397
20,table,(,(%,2.5,4.17116691824045,4.3993125436827,0.9481406189769669,0.01900527556960574,0.9344367699423819,0.9534420455119876
20,table,2012,2012%,2.5,4.025791422463899,1.8039380665868001,2.2316683133590223,0.0588124646732715,2.195517551358729,2.2543300160320006
20,table,a,a%,2.5,4.55891701858485,3.9750626310705495,1.1468792926558389,0.01726928828381058,1.1414555193043185,1.1587248075881291
20,table,interest,interest%,2.5,4.2578126303851,0.49314601346844994,8.63397962084003,0.05325245984355398,8.580224723971373,8.633477183814927
20,table,jos,jos%,2.5,4.08975011669095,2.2020830074325,1.857218870899585,0.032322192834084884,1.8469182152836485,1.8792404081177334
20,table,the,the%,2.5,3.76152107492085,3.8319585146382,0.9816184232036238,0.016189989223469148,0.9738926691738836,0.9900826583973528
20,view,#,#%,2.5,11.16999995429065,5.809457972645701,1.9227266996138868,0.0923081728076558,1.878041386961963,1.9703495597696188
20,view,(,(%,2.5,11.3418335095047,8.152625057846251,1.3911879215626495,0.03731148648202387,1.3754468474469097,1.4127583339289336
20,view,2012,2012%,2.5,11.341770412400301,5.8128545060753,1.9511533276028945,0.053798980261785534,1.920032771330608,1.9738317515923935
20,view,a,a%,2.5,15.062020393088401,6.2137709464877,2.4239741893933386,0.19541180959607152,2.3388937187421557,2.534305528338227
20,view,interest,interest%,2.5,14.0767295379191,6.4044579630717005,2.1979579878712534,0.263838454592507,2.0195016867413433,2.2833401413338503
20,view,jos,jos%,2.5,13.350291526876351,6.13939599134025,2.174528495263577,0.07415150891749711,2.141842927137399,2.215994436054896
20,view,the,the%,2.5,12.4002709053456,7.3630419792607,1.6841233474253086,0.07115318937712156,1.6410590660730522,1.7122122554501737
24,table,#,#%,3.0,3.0604584608226504,1.2702919775619999,2.4092559150821504,0.06564158977692092,2.375594057497188,2.441235647274109
24,table,(,(%,3.0,4.1632079519331,4.36187500599765,0.9544537489516828,0.01002832250170771,0.9493998569472747,0.9594281794489824
24,table,2012,2012%,3.0,4.02993790339675,1.82002119254315,2.2142258122641096,0.037021974248599765,2.199663711341118,2.236685685589718
24,table,a,a%,3.0,4.52162511646745,3.982187481597,1.1354626414158975,0.018633817542708986,1.1268823746758168,1.1455161922185257
24,table,interest,interest%,3.0,4.248083336278749,0.5004374543204501,8.488739800755466,0.3004913165078982,8.340380230604058,8.640871547111956
24,table,jos,jos%,3.0,4.0932709816843,2.1944169420748496,1.8653114197222969,0.02915123833545552,1.8412953346478234,1.8704465729832789
24,table,the,the%,3.0,3.7198534701018997,3.84766655042765,0.966781663990206,0.016351134298088987,0.9628807334048853,0.9792318677029743
24,view,#,#%,3.0,11.19393750559535,5.609979503788,1.9953615691531352,0.11652303339881831,1.9302204379440835,2.046743471342902
